time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-06-25T21:09:48.300Z,38.7523,-122.718,2.5,1,Md,12,115.2,0.00898315,0.04,nc,nc72243546,2014-06-25T21:11:30.745Z,"Northern California",earthquake
2014-06-25T20:32:45.000Z,66.0026,-150.9653,5.9,2.5,ml,,,,1.04,ak,ak11306256,2014-06-25T20:57:47.779Z,"96km SE of New Allakaket, Alaska",earthquake
2014-06-25T20:09:18.000Z,62.2904,-151.8691,100,1.8,ml,,,,0.61,ak,ak11306174,2014-06-25T20:55:57.273Z,"91km W of Talkeetna, Alaska",earthquake
2014-06-25T20:06:43.300Z,38.7932,-122.7572,2,0.9,Md,14,72,0.01796631,0.03,nc,nc72243531,2014-06-25T20:21:06.307Z,"Northern California",earthquake
2014-06-25T19:55:22.600Z,38.8248,-122.7638,2.5,0.5,Md,9,86.4,0.00898315,0.02,nc,nc72243521,2014-06-25T20:21:06.300Z,"Northern California",earthquake
2014-06-25T19:47:42.410Z,33.1401672,-116.4816666,9.8,1.2,ml,15,125,0.1138,0.15,ci,ci37236280,2014-06-25T19:50:09.628Z,"13km ENE of Julian, California",earthquake
2014-06-25T19:46:26.000Z,-40.744,175.83,32,4.4,mwr,,,,1,us,usc000rm11,2014-06-25T21:21:29.000Z,"North Island of New Zealand",earthquake
2014-06-25T19:02:25.000Z,60.1751,-141.3269,0.5,1,ml,,,,1.09,ak,ak11306145,2014-06-25T19:45:17.495Z,"62km ENE of Cape Yakataga, Alaska",earthquake
2014-06-25T18:53:04.909Z,36.6921,-116.311,6.2951,0.05,ml,10,78.33,0.087,0.0943,nn,nn00450208,2014-06-25T19:45:03.054Z,"46km ESE of Beatty, Nevada",earthquake
2014-06-25T18:41:32.120Z,18.8469,-62.8029,17.12,4.6,mb,,132,0.833,1.1,us,usc000rm02,2014-06-25T20:17:07.711Z,"89km NNE of Stoney Ground, Anguilla",earthquake
2014-06-25T18:25:49.000Z,60.2287,-141.88,0,1,ml,,,,1.15,ak,ak11306070,2014-06-25T19:00:30.240Z,"Southern Alaska",earthquake
2014-06-25T18:15:49.920Z,33.3303337,-116.2113342,10.06,1.15,ml,40,118,0.1305,0.28,ci,ci37236256,2014-06-25T18:18:08.910Z,"17km ENE of Borrego Springs, California",earthquake
2014-06-25T17:50:15.800Z,38.7947,-122.7582,1.9,0.5,Md,8,72,0.02694946,0.02,nc,nc72243491,2014-06-25T18:11:05.721Z,"Northern California",earthquake
2014-06-25T17:48:26.400Z,52.0552,178.462,135.25,4.2,mb,,140,0.856,1.32,us,usc000rlz9,2014-06-25T19:22:36.472Z,"12km NNW of Little Sitkin Island, Alaska",earthquake
2014-06-25T17:32:37.000Z,61.2466,-151.5395,58.2,1.7,ml,,,,0.87,ak,ak11305983,2014-06-25T17:56:55.719Z,"Southern Alaska",earthquake
2014-06-25T17:25:28.930Z,33.0486667,-116.4428333,5.04,0.8,ml,19,110,0.1339,0.27,ci,ci37236232,2014-06-25T17:29:24.090Z,"Southern California",earthquake
2014-06-25T17:13:16.740Z,34.0965,-118.4805,9.91,1.49,ml,16,148,0.02322,0.24,ci,ci37236224,2014-06-25T17:18:00.070Z,"6km NW of Westwood, California",earthquake
2014-06-25T17:08:53.420Z,32.8193333,-115.4648333,2.22,1.87,ml,12,78,0.02064,0.36,ci,ci37236216,2014-06-25T17:12:39.840Z,"7km W of Holtville, California",earthquake
2014-06-25T17:04:27.580Z,32.738,-115.4236667,9.6,2.02,ml,11,205,0.0699,0.36,ci,ci37236208,2014-06-25T17:08:19.230Z,"Southern California",earthquake
2014-06-25T17:02:52.700Z,35.8292,-119.8442,7.7,3.1,Ml,86,97.2,0.18864621,0.22,nc,nc72243471,2014-06-25T19:48:06.135Z,"22km SSE of Kettleman City, California",earthquake
2014-06-25T17:00:26.000Z,40.5572,-124.252,23.7,3.2,Ml,20,154.8,0.10779783,0.06,nc,nc72243461,2014-06-25T19:18:06.028Z,"2km SSE of Ferndale, California",earthquake
2014-06-25T16:45:10.380Z,34.3441667,-116.8861667,0,1.51,ml,37,72,0.08654,0.31,ci,ci37236192,2014-06-25T16:55:20.530Z,"9km NNW of Big Bear City, California",earthquake
2014-06-25T16:43:43.000Z,38.8345,-122.7965,2.6,0.4,Md,7,104.4,0.00898315,0.01,nc,nc72243451,2014-06-25T17:07:05.395Z,"6km WNW of Cobb, California",earthquake
2014-06-25T16:30:05.120Z,34.0246667,-117.2341667,2.29,1.36,ml,37,33,0.09243,0.38,ci,ci37236184,2014-06-25T16:34:18.130Z,"3km SE of Loma Linda, California",earthquake
2014-06-25T16:19:43.591Z,39.3104,-119.9841,7.185,1.99,ml,27,42.05,0.044,0.1258,nn,nn00450180,2014-06-25T17:38:06.000Z,"6km N of Incline Village, Nevada",earthquake
2014-06-25T16:13:04.000Z,43.1798,-122.8945,0,1.5,Md,,201.6,0.19762936,0.3,uw,uw60816771,2014-06-25T19:56:09.006Z,"21km SE of Glide, Oregon",quarry
2014-06-25T16:11:57.880Z,33.339,-116.8916667,8.14,0.68,ml,15,106,0.02832,0.24,ci,ci37236168,2014-06-25T16:16:00.110Z,"11km SSW of Aguanga, California",earthquake
